GO_term,description,source,sink,avg_pvalue,avg_pvalue_adj,avg_qvalue
ROBO1,JCAD,GO:1900746,regulation of vascular endothelial growth factor signaling pathway,0.0255613833357577,0.0875711308237231,0.0586444532814014
APOE,NOS3,GO:0010544,negative regulation of platelet activation,0.0290335206619672,0.0942111380423549,0.0630911195452533
SLC6A4,FANCD2,GO:0048854,brain morphogenesis,0.0825006479745693,0.196217757344922,0.131402700814254
CAMK2A,SOD2,GO:0010661,positive regulation of muscle cell apoptotic process,0.0680394336570113,0.17092479797262,0.114464564235395
PHF14,DCHS2,GO:0010463,mesenchymal cell proliferation,0.503071772945314,0.661365958803866,0.44290218372372
GHRL,DCC,GO:0099170,postsynaptic modulation of chemical synaptic transmission,0.00246636519602111,0.0162612882078838,0.0108898257637243
LIN28B,TNF,GO:1903799,negative regulation of miRNA maturation,0.00246636519602111,0.0162612882078838,0.0108898257637243
PTK2B,BCL2,GO:0030279,negative regulation of ossification,0.232874995513615,0.389733458287901,0.260995894100892
EPB42,F13A1,GO:0018149,peptide cross-linking,0.075080617955479,0.183719060287371,0.123032599289068
ARFGAP2,TRAPPC6A,GO:0048199,vesicle targeting to from or within Golgi,0.366961287346244,0.532776101992971,0.356788395089558
IL4I1,CR1,GO:0045589,regulation of regulatory T cell differentiation,0.075080617955479,0.183719060287371,0.123032599289068
FGF1,NRP1,GO:0035767,endothelial cell chemotaxis,0.130522799952544,0.265824673063972,0.17801691577929
KAT8,BRCA2,GO:0043966,histone H3 acetylation,0.556097141460226,0.684492078187762,0.458389235392826
GHR,RARB,GO:0060351,cartilage development involved in endochondral bone morphogenesis,0.349274226754344,0.515345555791694,0.345115543057674
IDUA,MANBA,GO:0009311,oligosaccharide metabolic process,0.585093978118,0.703018971873595,0.470796287134516
ALCAM,NRP1,GO:0031290,retinal ganglion cell axon guidance,0.0108291573008633,0.0479567768000515,0.0321155948327132
CD55,TRAF2,GO:0002726,positive regulation of T cell cytokine production,0.0791304324606602,0.190352113336619,0.127474608499189
LIN28B,TP53,GO:1903799,negative regulation of miRNA maturation,0.00246636519602111,0.0162612882078838,0.0108898257637243
MTHFR,SLC19A1,GO:0042558,pteridine-containing compound metabolic process,0.061381639276811,0.160419390592233,0.107429324807446
ABCD2,ACSL6,GO:0000038,very long-chain fatty acid metabolic process,0.179213546915161,0.327844577291899,0.219550276623208
AGRN,TENM2,GO:0051491,positive regulation of filopodium assembly,0.0437310247062749,0.124740262055248,0.0835358000016485
TNIP1,MX1,GO:0045071,negative regulation of viral genome replication,0.293857352237274,0.454031171066816,0.304054653051422
GHRL,KCNQ1,GO:0001696,gastric acid secretion,0.00435094534626705,0.0251652071206218,0.0168525837158917
RDX,ADD2,GO:0051693,actin filament capping,0.486805685133636,0.646588492801964,0.433006040937686
NOTCH1,RARB,GO:0035116,embryonic hindlimb morphogenesis,0.0982641658746686,0.222488722113451,0.148995786018631
