go_term,description,mouse_symbol,human_symbol,avg_pvalue,avg_pvalue_adj,avg_qvalue
GO:0000002,mitochondrial genome maintenance,Parp1,PARP1,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Parp1,TP53,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Cfh,PARP1,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Cfh,TP53,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Trp53,PARP1,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Trp53,TP53,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Mrpl39,PARP1,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000002,mitochondrial genome maintenance,Mrpl39,TP53,0.336353185190755,0.418775236141888,0.266712397083868
GO:0000012,single strand break repair,Parp1,ERCC8,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Parp1,PARP1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Parp1,XRCC1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Smc2,ERCC8,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Smc2,PARP1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Smc2,XRCC1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Ercc8,ERCC8,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Ercc8,PARP1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Ercc8,XRCC1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Xrcc1,ERCC8,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Xrcc1,PARP1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000012,single strand break repair,Xrcc1,XRCC1,0.0191706851564082,0.0574247884306348,0.0378076465868908
GO:0000028,ribosomal small subunit assembly,Rpsa,ABT1,0.280948690353452,0.39858280534518,0.235901501687184
GO:0000028,ribosomal small subunit assembly,Rpsa,RPSA,0.280948690353452,0.39858280534518,0.235901501687184
GO:0000028,ribosomal small subunit assembly,Abt1,ABT1,0.280948690353452,0.39858280534518,0.235901501687184
GO:0000028,ribosomal small subunit assembly,Abt1,RPSA,0.280948690353452,0.39858280534518,0.235901501687184
GO:0000038,very long-chain fatty acid metabolic process,Acsl6,ELOVL3,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Acsl6,ACSL6,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Acsl6,ELOVL7,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Acsl6,ABCD2,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Abcd2,ELOVL3,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Abcd2,ACSL6,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Abcd2,ELOVL7,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Abcd2,ABCD2,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl7,ELOVL3,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl7,ACSL6,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl7,ELOVL7,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl7,ABCD2,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl3,ELOVL3,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl3,ACSL6,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl3,ELOVL7,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000038,very long-chain fatty acid metabolic process,Elovl3,ABCD2,0.120311293634803,0.216759135471906,0.133852924026075
GO:0000050,urea cycle,Arg2,OTC,0.0991351664406047,0.190505033512204,0.115233658628351
GO:0000050,urea cycle,Arg2,ARG2,0.0991351664406047,0.190505033512204,0.115233658628351
GO:0000050,urea cycle,Otc,OTC,0.0991351664406047,0.190505033512204,0.115233658628351
GO:0000050,urea cycle,Otc,ARG2,0.0991351664406047,0.190505033512204,0.115233658628351
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,Cdk5,CDK5,0.652084141104066,0.70131067046798,0.405947862133811
GO:0000097,sulfur amino acid biosynthetic process,Mtr,MTHFD1,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mtr,MTHFR,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mtr,MTR,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mthfd1,MTHFD1,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mthfd1,MTHFR,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mthfd1,MTR,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mthfr,MTHFD1,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mthfr,MTHFR,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000097,sulfur amino acid biosynthetic process,Mthfr,MTR,0.0576325509345577,0.128828873333149,0.0807444869785789
GO:0000132,establishment of mitotic spindle orientation,Fgf10,SPRY2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Fgf10,CDK5RAP2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Fgf10,FGF10,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Fgf10,PKHD1,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Spry2,SPRY2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Spry2,CDK5RAP2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Spry2,FGF10,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Spry2,PKHD1,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Cdk5rap2,SPRY2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Cdk5rap2,CDK5RAP2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Cdk5rap2,FGF10,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Cdk5rap2,PKHD1,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Pkhd1,SPRY2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Pkhd1,CDK5RAP2,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Pkhd1,FGF10,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000132,establishment of mitotic spindle orientation,Pkhd1,PKHD1,0.110576794781163,0.205076300919062,0.125151504762081
GO:0000154,rRNA modification,Bud23,BUD23,0.846096599612891,0.859339412334955,0.491453835361843
GO:0000184,nuclear-transcribed mRNA catabolic process nonsense-mediated decay,Eif3e,EIF3E,0.898324887023602,0.907085395653057,0.514058878724665
GO:0000245,spliceosomal complex assembly,Celf1,CELF1,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf1,SRSF12,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf1,SF3B3,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf1,CELF2,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Celf1,RBM5,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Srsf12,CELF1,0.436081230167171,0.498971143577418,0.312304662315177
GO:0000245,spliceosomal complex assembly,Srsf12,SRSF12,0.436081230167171,0.498971143577418,0.312304662315177
