GO_term,description,source,sink,avg_pvalue,avg_pvalue_adj,avg_qvalue
Ldlr,Igf1,GO:0150079,negative regulation of neuroinflammatory response,0.000345020000917644,0.00143398937881396,0.000653469899398842
Madd,Bloc1s3,GO:0047496,vesicle transport along microtubule,0.169656080498217,0.234285104241308,0.106763875493863
Fgf1,Ptn,GO:2000345,regulation of hepatocyte proliferation,0.00350802220197558,0.00986167819578387,0.00449397321466403
Dpp4,Plau,GO:0033628,regulation of cell adhesion mediated by integrin,0.0202699661758856,0.042152796234425,0.0192090568602902
Nrxn1,Ank3,GO:0044091,membrane biogenesis,0.131476142118604,0.190713696214214,0.0869083563102542
Slc24a4,Homer2,GO:0050849,negative regulation of calcium-mediated signaling,0.000296925336629957,0.00126304061103788,0.000575568433926772
Gstp2,Ptgs2,GO:0006692,prostanoid metabolic process,0.214926132945895,0.284461058310744,0.129629090635912
Ywhaz,Cdk1,GO:0048308,organelle inheritance,0.0262510753043387,0.0516818045054168,0.0235514321722789
Pin1,G6pd2,GO:0061050,regulation of cell growth involved in cardiac muscle cell development,0.00247293409581153,0.00741137234022634,0.00337736723097682
Tlr4,Peli3,GO:0062208,positive regulation of pattern recognition receptor signaling pathway,0.136215991550778,0.196021329509835,0.089327048280347
Lrp2,Slc7a9,GO:0072337,modified amino acid transport,0.166250940974927,0.22986893526866,0.104751424399788
Bcl2,Il10,GO:0002902,regulation of B cell apoptotic process,0.0728731367254119,0.120216572023592,0.0547827706306337
Slc24a4,Mapk7,GO:0050849,negative regulation of calcium-mediated signaling,0.000296925336629957,0.00126304061103788,0.000575568433926772
Aldh1a2,Plekha1,GO:0060324,face development,0.144972680645003,0.204444272775764,0.0931653890448938
Sirt2,Mad1l1,GO:0051984,positive regulation of chromosome segregation,0.00816904469069394,0.0198908594279102,0.00906427767272836
Mark4,Limk2,GO:1902017,regulation of cilium assembly,0.0981271487223247,0.150858203211691,0.0687461820378124
Smarcc1,Ssrp1,GO:0006337,nucleosome disassembly,0.17145789940873,0.234930294862923,0.107057889282827
Cd44,Gstp1,GO:0070486,leukocyte aggregation,0.00704604369279429,0.0178085183705126,0.00811535348863354
Park7,Ptk2b,GO:2000310,regulation of NMDA receptor activity,0.00119504278484715,0.00402494713973563,0.00183417104850812
Agt,Spry2,GO:0051386,regulation of neurotrophin TRK receptor signaling pathway,0.00567609394845564,0.0148346822189987,0.0067601744060899
Il16,Ager,GO:0050930,induction of positive chemotaxis,0.00349285384365679,0.00985607272715034,0.00449141879893533
Ahsa1,Msh2,GO:0032781,positive regulation of ATP-dependent activity,0.0400206002649836,0.0730699489279826,0.0332980235980131
Cckbr,Uts2r,GO:0048520,positive regulation of behavior,0.270904810626171,0.346297584706884,0.157808036226626
Adamts18,Il6,GO:0090330,regulation of platelet aggregation,0.0416070786412446,0.0755975609192012,0.0344498580383679
Comt,Snca,GO:0042762,regulation of sulfur metabolic process,0.00140833844608936,0.00459090718945797,0.00209207941395341
Iqgap2,Cd2ap,GO:2000249,regulation of actin cytoskeleton reorganization,0.00876544909514296,0.0209593339330526,0.00955118220472924
Nck2,Cdh13,GO:0030032,lamellipodium assembly,0.108314023599898,0.164741913912424,0.0750729981000026
Bcl3,Brca2,GO:0010225,response to UV-C,0.0216994310122023,0.0443851997976865,0.0202263646266202
Reln,Dio2,GO:0042403,thyroid hormone metabolic process,0.199869674792989,0.268090543172577,0.122169036162362
Tlr4,Trim56,GO:0032728,positive regulation of interferon-beta production,0.161038582298341,0.223519460819938,0.101857964733669
Creb3l1,Park7,GO:1902235,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,0.00816904469069394,0.0198908594279102,0.00906427767272836
Itpkb,Gstp1,GO:0035726,common myeloid progenitor cell proliferation,0.0959149575874221,0.147913697000335,0.0674043686282142
